A A jak Ania
B B jak Babcia
C C jak Ciocia
C C jak Cebula
D D jak Dom
E E jak Ewa
F F jak Franek
G G jak Grażyna
H H jak Halina
I I jak Irena
J J jak Jan
J J jak JACEK
K K jak Kupa
L L jak Lalka
M M jak Marcel
N N jak Noga
O O jak Oko
P P jak Pociąg
P P jak Piotr
R R jak Reka
S S jak Siusiu
S S jak Samolot
T T jak Tata
T T jak Traktor
U U jak Urszula
W W jak Weronika
W W jak Woda
W W jak Wiadro
Y Y jak Yunees
Z Z jak Zwierze
Z Z jak Zab
I I jak Igla
O O jak Olga
M M jak Marcel
B B jak Babcia
C C jak Ciocia
C C jak Cebula
T T jak Tata
T T jak Traktor
K K jak Kupa
W W jak Weronika
W W jak Woda
W W jak Wiadro
H H jak Halina
S S jak Siusiu
S S jak Samolot
P P jak Pociąg
B B jak Budowniczy
P P jak Piotr
